time_taken,net_power
26.07,357.62
25.663,791.89
26.038,-977.01
25.773,-19.51
26.002,225.49
25.589,531.37
25.935,-1570.6
25.693,-873.5
25.616,-232.68
25.837,-463.2
25.895,230.71
25.924,1494.7
25.598,1015.2
25.955,-716.32
25.754,-629.71
25.662,862.58
25.571,1207.5
25.591,694.31
25.938,-496.89
25.674,582.27
25.969,924.31
25.667,-718.96
25.598,450.68
25.869,38.138
25.432,1092
25.753,84.054
25.648,1037.5
25.765,460.8
25.737,-835.67
25.921,-211.05
25.631,813.03
25.594,480.88
25.949,353.26
25.187,629.31
25.818,819.12
25.772,185.82
25.831,-307.33
25.781,-834.37
25.535,-376.53
45.08,817.16
24.223,-457.11
24.517,769.5
23.922,467.63
24.273,-750.87
24.648,392.68
24.366,472.97
24.475,354.34
24.416,-246.88
22.459,857.45
22.731,501.74
22.538,-30.998
22.458,610.23
22.534,480.63
22.718,663.4
21.27,393.72
24.464,180.11
21.51,228.85
18.921,197.62
19.065,268.47
20.392,-167.09
18.855,837.26
0.56692,856.06
1.1147,891.32
0.077908,898.9
0.073008,903.83
0.27635,916.04
0.69578,911.13
0.32878,907.11
0.18179,907.43
13.841,856.63
10.66,313.81
5.5775,422.58
0.028909,421.49
0.28468,428.85
0.12936,431.38
9.9472,-17.22
19.93,-7.9967
17.347,124.13
180,468.82
180,468.74
180,468.31
180,467.68
180,466.69
180,465.6
180,464.42
180,463.04
180,461.6
180,460.02
24.002,-59.872
24.1,-383.3
23.842,77.461
24.071,196.1
24.019,220.25
24.771,-82.675
22.557,34.164
23.652,31.662
23.379,84.029
23.383,45.731
23.645,-77.505
23.383,-137.42
23.616,-9.2266
22.97,-459.27
22.927,-352.98
24.204,249.41
22.888,-203.22
24.173,-336.67
23.218,-57.798
22.849,-363.07
23.185,-246.4
23.02,49.227
23.01,-19.5
24.86,-241.62
25.105,-88.798
24.483,111.82
24.678,-149.65
24.391,-217.8
24.394,-244.89
24.636,-55.556
24.356,-124.91
24.387,-88.385
24.688,-143.28
24.496,-682.02
24.546,-449.61
29.849,50.971
25.908,-606.37
26.213,-609.61
25.873,-678.29
26.019,-160.19
26.25,622.29
25.97,325.33
26.186,638.61
25.791,601.46
25.767,837.71
26.075,250.11
25.817,149.72
26.109,-151.69
25.836,-613.8
25.916,-58.337
25.994,392.01
25.792,-235.5
26.189,-1244.6
25.886,244.84
25.666,821.95
27.895,-449.39
22.536,-703.69
20.887,-433.72
20.192,-477.13
20.312,-146.61
19.907,397.92
19.994,212.91
19.373,293.59
20.515,-373.21
20.89,-82.65
21.813,-675.01
20.415,-296.06
20.332,-285.36
20.426,80.315
20.37,-90.355
18.162,-254.76
19.894,-77.153
21.304,-186.57
21.059,317.3
19.25,662.27
19.839,553.89
20.089,524.16
20.911,633.63
19.393,511.58
20.654,546.2
22.855,386.92
24.709,255.07
25.112,353.89
24.647,82.478
24.645,35.148
24.395,153.14
24.312,-73.511
24.658,-215.03
24.37,-459.73
24.656,-506.74
24.45,-301.64
24.363,512.2
24.429,89.726
24.043,-398.27
24.112,234.29
23.417,-553.13
23.463,-307.11
23.648,571.75
23.378,-55.83
23.697,-875.87
23.434,-10.957
23.751,197.84
24.16,-44.31
24.228,-222.94
24.916,164.04
25.013,317.16
25.581,427.88
25.11,227.37
25.023,-92.809
25.571,-103.68
25.248,467.26
24.817,-15.446
24.334,-9.613
24.317,-239.14
24.6,-184.32
24.378,-478.98
24.596,-456.95
23.938,1.2144
23.869,526.04
24.031,512.51
23.938,-356.62
24.158,510.16
23.815,437.38
23.89,397.38
24.109,400.57
23.878,341.42
24.108,405.6
23.864,276.33
23.829,145.61
23.97,142.6
23.604,89.822
23.904,168.02
23.599,32.755
23.624,110.04
23.94,187.32
25.192,80.511
25.357,145.18
24.817,50.078
24.783,-15.947
25.078,561.25
24.867,154.61
25.124,81.89
24.848,-479.79
25.147,-477.48
24.937,-320.33
24.884,353.8
25.157,254.36
24.948,-157.08
25.283,-6.9791
24.881,366.16
24.898,-29.616
25.111,446.72
24.822,498.38
25.124,135.96
24.845,15.532
24.873,-379.45
25.108,287.45
24.866,-90.022
25.141,86.796
24.845,-160.55
24.78,-174.15
25.104,-49.584
24.8,55.945
25.017,-55.301
24.863,-883.56
24.775,-32.729
25.114,151.22
24.931,-671.61
24.974,45.231
24.645,341.31
24.7,220.54
24.943,97.274
24.689,235.18
25.751,-42.933
24.379,370.27
24.388,654.19
24.091,263.4
24.103,29.008
24.411,-153.47
24.103,427.38
24.363,166.23
24.117,-460.35
24.15,-892.1
24.422,-476.35
24.147,46.345
24.495,245.5
24.182,262.11
24.178,48.315
24.627,256.18
25.202,266.42
25.922,101.58
26.052,454.83
25.568,277.3
25.818,-458.64
25.656,-705.24
25.839,-554.08
25.647,-802.34
25.611,240.52
25.879,448.59
25.579,-336.54
25.913,-150.68
25.657,21.228
60.279,126.04
20.908,-358.09
20.601,253.04
20.579,364.23
20.252,780.42
18.65,475.84
24.282,-169.46
22.564,-289.2
21.439,-107.99
21.557,-81.2
21.474,382.01
22.304,311.97
23.3,-465.65
23.693,-315.84
23.604,-195.34
19.224,-363.77
20.326,-613.08
20.089,-554.82
20.06,-299
18.842,-377.81
23.209,-56.668
24.223,-259.01
23.701,-479.89
23.331,-132.54
23.481,225.68
23.254,527.26
24.276,782.2
24.191,175.06
24.173,584.1
24.42,171.38
24.152,-178.39
24.253,-1440.5
24.631,-438.76
24.128,146.44
24.442,37.731
24.228,-70.273
24.104,-112.39
24.439,-534.75
24.199,-148.41
24.178,-232.55
24.433,-40.568
24.154,-255.65
24.101,-114.62
23.724,678.38
23.651,734.31
23.919,555.39
23.687,186.8
23.661,176.1
24,70.683
23.731,274.93
23.939,378.64
23.759,129.1
23.708,124.76
23.972,98.272
23.823,-212.18
24.101,-146.56
24.833,-205.51
24.63,-122.93
24.426,-2.5039
24.444,-125.16
24.134,-403.81
24.259,-771.74
23.941,-767.24
23.956,-946
24.307,-1037.5
